Iteration, loss, time 
0, -5.557106971740723, 0.11055946350097656 
1, -5.64675760269165, 0.021143674850463867 
2, -5.740681171417236, 0.020441532135009766 
3, -5.853675365447998, 0.021902084350585938 
4, -5.936698913574219, 0.02016162872314453 
5, -6.0299482345581055, 0.020594120025634766 
6, -6.1095075607299805, 0.02036762237548828 
7, -6.213770866394043, 0.02048945426940918 
8, -6.328619956970215, 0.020579099655151367 
9, -6.41627836227417, 0.020284175872802734 
10, -6.46146297454834, 0.020464658737182617 
11, -6.536802768707275, 0.02005290985107422 
12, -6.677296161651611, 0.020276308059692383 
13, -6.713107109069824, 0.020258426666259766 
14, -6.818556308746338, 0.020318269729614258 
15, -6.897397994995117, 0.01990675926208496 
16, -6.973130702972412, 0.019567489624023438 
17, -7.087043762207031, 0.019463300704956055 
18, -7.165719985961914, 0.019501209259033203 
19, -7.242702007293701, 0.019410371780395508 
20, -7.323270320892334, 0.020296335220336914 
21, -7.41072940826416, 0.019852399826049805 
22, -7.455581188201904, 0.020025253295898438 
23, -7.518502712249756, 0.019060134887695312 
24, -7.661388874053955, 0.019549131393432617 
25, -7.696381092071533, 0.019608497619628906 
26, -7.781303882598877, 0.0215609073638916 
27, -7.874452114105225, 0.01890397071838379 
28, -7.9784674644470215, 0.018813133239746094 
29, -8.006360054016113, 0.018185853958129883 
30, -8.066993713378906, 0.0183560848236084 
31, -8.138916015625, 0.018667936325073242 
32, -8.21513557434082, 0.018962860107421875 
33, -8.269752502441406, 0.019248008728027344 
34, -8.363402366638184, 0.01925826072692871 
35, -8.406803131103516, 0.01894235610961914 
36, -8.488937377929688, 0.020001649856567383 
37, -8.553571701049805, 0.019448518753051758 
38, -8.620994567871094, 0.019123077392578125 
39, -8.689067840576172, 0.018718481063842773 
40, -8.735318183898926, 0.019261598587036133 
41, -8.802403450012207, 0.01906871795654297 
42, -8.8627347946167, 0.019409656524658203 
43, -8.921802520751953, 0.019279003143310547 
44, -8.978450775146484, 0.019343137741088867 
45, -9.048792839050293, 0.018984079360961914 
46, -9.113455772399902, 0.019476890563964844 
47, -9.178807258605957, 0.019130229949951172 
48, -9.22474193572998, 0.019274234771728516 
49, -9.268119812011719, 0.018778562545776367 
50, -9.344247817993164, 0.020871400833129883 
51, -9.38456916809082, 0.018537521362304688 
52, -9.446471214294434, 0.018811702728271484 
53, -9.508773803710938, 0.01891350746154785 
54, -9.523457527160645, 0.01906275749206543 
55, -9.616146087646484, 0.01918196678161621 
56, -9.660989761352539, 0.01922917366027832 
57, -9.697406768798828, 0.019339561462402344 
58, -9.757266998291016, 0.019239425659179688 
59, -9.811683654785156, 0.018850088119506836 
60, -9.86169147491455, 0.019365549087524414 
61, -9.930243492126465, 0.019533634185791016 
62, -9.959882736206055, 0.019841909408569336 
63, -10.00882625579834, 0.01939249038696289 
64, -10.068366050720215, 0.0195615291595459 
65, -10.078259468078613, 0.019565343856811523 
66, -10.164115905761719, 0.01946234703063965 
67, -10.200905799865723, 0.019045352935791016 
68, -10.249473571777344, 0.019217491149902344 
69, -10.283302307128906, 0.01920604705810547 
70, -10.340335845947266, 0.01937389373779297 
71, -10.37999439239502, 0.01903057098388672 
72, -10.421382904052734, 0.019174575805664062 
73, -10.462801933288574, 0.01849651336669922 
74, -10.497659683227539, 0.021515607833862305 
75, -10.573060989379883, 0.01936483383178711 
76, -10.62147331237793, 0.019382953643798828 
77, -10.635250091552734, 0.019113540649414062 
78, -10.67876148223877, 0.019135475158691406 
79, -10.712939262390137, 0.019246578216552734 
80, -10.748656272888184, 0.01941227912902832 
81, -10.785311698913574, 0.019118070602416992 
82, -10.842907905578613, 0.019439220428466797 
83, -10.870889663696289, 0.01952838897705078 
84, -10.904747009277344, 0.01970219612121582 
85, -10.956798553466797, 0.019420623779296875 
86, -10.988677024841309, 0.01943683624267578 
87, -11.046152114868164, 0.019339323043823242 
88, -11.058564186096191, 0.019365310668945312 
